inst#,actual,predicted,error,prediction
3054,2:1,2:1,,0.745
3055,1:0,1:0,,0.685
3056,2:1,1:0,+,0.927
3057,2:1,2:1,,0.737
3058,1:0,1:0,,0.56
3059,1:0,2:1,+,0.662
3060,2:1,2:1,,0.558
3061,1:0,2:1,+,0.505
3062,2:1,1:0,+,0.805
3063,2:1,1:0,+,0.617
3064,2:1,1:0,+,0.512
3065,2:1,1:0,+,0.689
3066,2:1,2:1,,0.575
3067,2:1,1:0,+,0.55
3068,2:1,2:1,,0.634
3069,2:1,1:0,+,0.533
3070,1:0,2:1,+,0.538
3071,2:1,2:1,,0.65
3072,2:1,2:1,,0.607
3073,1:0,2:1,+,0.806
3074,2:1,1:0,+,0.513
3075,2:1,2:1,,0.666
3076,1:0,1:0,,0.593
3077,1:0,2:1,+,0.655
3078,1:0,1:0,,0.764
3079,1:0,1:0,,0.66
3080,1:0,1:0,,0.556
3081,1:0,1:0,,0.677
3082,2:1,1:0,+,0.551
3083,1:0,1:0,,0.666
3084,1:0,2:1,+,0.654
3085,2:1,1:0,+,0.547
3086,1:0,1:0,,0.815
3087,2:1,2:1,,0.634
3088,2:1,2:1,,0.803
3089,1:0,1:0,,0.525
3090,1:0,1:0,,0.531
3091,2:1,2:1,,0.636
3092,1:0,2:1,+,0.752
3093,2:1,1:0,+,0.698
3094,1:0,2:1,+,0.513
3095,1:0,2:1,+,0.615
3096,1:0,1:0,,0.764
3097,1:0,2:1,+,0.807
3098,1:0,2:1,+,0.529
3099,2:1,1:0,+,0.554
3100,2:1,2:1,,0.742
3101,2:1,1:0,+,0.61
3102,2:1,1:0,+,0.661
3103,1:0,1:0,,0.677
3104,2:1,1:0,+,0.503
3105,1:0,2:1,+,0.629
3106,2:1,1:0,+,0.565
3107,1:0,2:1,+,0.714
3108,2:1,1:0,+,0.691
3109,2:1,2:1,,0.716
3110,1:0,2:1,+,0.603
3111,1:0,1:0,,0.598
3112,2:1,2:1,,0.769
3113,2:1,1:0,+,0.643
3114,1:0,2:1,+,0.58
3115,2:1,2:1,,0.523
3116,2:1,1:0,+,0.775
3117,1:0,2:1,+,0.595
3118,1:0,1:0,,0.539
3119,2:1,1:0,+,0.514
3120,2:1,1:0,+,0.779
3121,1:0,1:0,,0.566
3122,1:0,2:1,+,0.6
3123,2:1,2:1,,0.825
3124,2:1,1:0,+,0.592
3125,2:1,2:1,,0.633
3126,2:1,2:1,,0.529
3127,1:0,1:0,,0.695
3128,1:0,1:0,,0.624
3129,2:1,1:0,+,0.678
3130,1:0,2:1,+,0.817
3131,1:0,1:0,,0.626
3132,2:1,2:1,,0.644
3133,2:1,1:0,+,0.696
3134,2:1,1:0,+,0.724
3135,2:1,1:0,+,0.533
3136,1:0,1:0,,0.737
3137,1:0,2:1,+,0.547
3138,2:1,1:0,+,0.76
3139,1:0,1:0,,0.555
3140,1:0,1:0,,0.549
3141,1:0,1:0,,0.632
3142,1:0,1:0,,0.618
3143,1:0,2:1,+,0.517
3144,1:0,1:0,,0.681
3145,2:1,1:0,+,0.509
3146,1:0,1:0,,0.63
3147,1:0,1:0,,0.882
3148,2:1,2:1,,0.887
3149,2:1,1:0,+,0.579
3150,1:0,1:0,,0.642
3151,1:0,2:1,+,0.674
3152,1:0,1:0,,0.526
3153,1:0,1:0,,0.528
3154,2:1,1:0,+,0.535
3155,2:1,2:1,,0.56
3156,2:1,2:1,,0.561
3157,2:1,1:0,+,0.681
3158,1:0,2:1,+,0.611
3159,1:0,1:0,,0.596
3160,2:1,2:1,,0.599
3161,1:0,2:1,+,0.533
3162,2:1,1:0,+,0.601
3163,1:0,1:0,,0.797
3164,2:1,2:1,,0.618
3165,1:0,1:0,,0.667
3166,1:0,2:1,+,0.599
3167,1:0,2:1,+,0.506
3168,1:0,1:0,,0.593
3169,2:1,2:1,,0.512
3170,1:0,2:1,+,0.763
3171,2:1,1:0,+,0.649
3172,1:0,2:1,+,0.506
3173,2:1,1:0,+,0.742
3174,1:0,2:1,+,0.57
3175,2:1,1:0,+,0.799
3176,1:0,1:0,,0.86
3177,1:0,1:0,,0.648
3178,1:0,1:0,,0.504
3179,2:1,2:1,,0.815
3180,1:0,2:1,+,0.75
3181,2:1,2:1,,0.571
3182,1:0,2:1,+,0.618
3183,1:0,1:0,,0.533
3184,1:0,2:1,+,0.892
3185,1:0,2:1,+,0.598
3186,2:1,2:1,,0.582
3187,2:1,2:1,,0.668
3188,2:1,2:1,,0.515
3189,2:1,1:0,+,0.703
3190,2:1,1:0,+,0.604
3191,2:1,1:0,+,0.739
3192,2:1,2:1,,0.602
3193,2:1,2:1,,0.586
3194,1:0,1:0,,0.54
3195,2:1,2:1,,0.646
3196,1:0,1:0,,0.613
3197,2:1,2:1,,0.728
3198,1:0,2:1,+,0.838
3199,1:0,2:1,+,0.511
3200,2:1,2:1,,0.507
3201,1:0,1:0,,0.533
3202,2:1,2:1,,0.522
3203,2:1,1:0,+,0.567
3204,1:0,1:0,,0.655
3205,2:1,2:1,,0.795
3206,1:0,2:1,+,0.767
3207,2:1,2:1,,0.529
3208,1:0,2:1,+,0.545
3209,2:1,1:0,+,0.637
3210,1:0,1:0,,0.788
3211,2:1,2:1,,0.833
3212,1:0,2:1,+,0.857
3213,1:0,1:0,,0.838
3214,2:1,1:0,+,0.67
3215,2:1,2:1,,0.752
3216,2:1,2:1,,0.509
3217,1:0,1:0,,0.862
3218,1:0,2:1,+,0.572
3219,2:1,1:0,+,0.564
3220,2:1,1:0,+,0.638
3221,2:1,2:1,,0.588
3222,2:1,2:1,,0.736
3223,2:1,1:0,+,0.751
3224,1:0,2:1,+,0.545
3225,1:0,1:0,,0.928
3226,1:0,1:0,,0.644
3227,2:1,1:0,+,0.715
3228,2:1,2:1,,0.573
3229,2:1,2:1,,0.635
3230,2:1,1:0,+,0.548
3231,1:0,2:1,+,0.667
3232,1:0,1:0,,0.837
3233,1:0,1:0,,0.758
3234,2:1,2:1,,0.694
3235,2:1,2:1,,0.621
3236,1:0,1:0,,0.695
3237,1:0,2:1,+,0.681
3238,2:1,2:1,,0.549
3239,1:0,2:1,+,0.787
3240,1:0,2:1,+,0.706
3241,1:0,1:0,,0.61
3242,2:1,1:0,+,0.596
3243,1:0,1:0,,0.801
3244,2:1,1:0,+,0.533
3245,1:0,1:0,,0.647
3246,2:1,2:1,,0.752
3247,1:0,1:0,,0.588
3248,1:0,1:0,,0.615
3249,2:1,1:0,+,0.777
3250,1:0,1:0,,0.671
3251,1:0,2:1,+,0.629
3252,1:0,1:0,,0.5
3253,1:0,1:0,,0.512
3254,1:0,1:0,,0.519
3255,1:0,1:0,,0.693
3256,1:0,2:1,+,0.656
3257,1:0,1:0,,0.665
3258,1:0,1:0,,0.665
3259,1:0,2:1,+,0.676
3260,2:1,1:0,+,0.583
3261,2:1,2:1,,0.589
3262,2:1,2:1,,0.544
3263,2:1,1:0,+,0.535
3264,2:1,2:1,,0.616
3265,2:1,2:1,,0.512
3266,1:0,1:0,,0.829
3267,1:0,1:0,,0.675
3268,1:0,1:0,,0.574
3269,1:0,1:0,,0.778
3270,2:1,1:0,+,0.695
3271,1:0,1:0,,0.615
3272,1:0,2:1,+,0.68
3273,1:0,1:0,,0.645
3274,1:0,2:1,+,0.599
3275,2:1,1:0,+,0.792
3276,2:1,1:0,+,0.515
3277,2:1,2:1,,0.724
3278,2:1,1:0,+,0.627
3279,2:1,1:0,+,0.581
3280,2:1,1:0,+,0.704
3281,1:0,2:1,+,0.559
3282,2:1,1:0,+,0.555
3283,1:0,1:0,,0.647
3284,1:0,1:0,,0.76
3285,1:0,2:1,+,0.716
3286,2:1,2:1,,0.535
3287,1:0,2:1,+,0.674
3288,1:0,1:0,,0.623
3289,1:0,2:1,+,0.642
3290,2:1,2:1,,0.695
3291,2:1,2:1,,0.69
3292,2:1,1:0,+,0.535
3293,1:0,2:1,+,0.533
3294,1:0,1:0,,0.581
3295,2:1,1:0,+,0.534
3296,1:0,2:1,+,0.65
3297,2:1,2:1,,0.512
3298,2:1,1:0,+,0.738
3299,2:1,1:0,+,0.664
3300,1:0,1:0,,0.611
3301,2:1,2:1,,0.543
3302,1:0,2:1,+,0.717
3303,1:0,2:1,+,0.761
3304,1:0,1:0,,0.659
3305,2:1,2:1,,0.514
3306,2:1,1:0,+,0.553
3307,1:0,1:0,,0.763
3308,1:0,2:1,+,0.507
3309,1:0,2:1,+,0.662
3310,2:1,2:1,,0.775
3311,1:0,1:0,,0.799
3312,1:0,2:1,+,0.608
3313,1:0,1:0,,0.863
3314,2:1,2:1,,0.511
3315,2:1,2:1,,0.574
3316,1:0,2:1,+,0.711
3317,1:0,2:1,+,0.812
3318,1:0,1:0,,0.719
3319,2:1,2:1,,0.77
3320,1:0,2:1,+,0.716
3321,1:0,1:0,,0.53
3322,2:1,1:0,+,0.726
3323,2:1,2:1,,0.501
3324,1:0,2:1,+,0.516
3325,2:1,2:1,,0.732
3326,1:0,2:1,+,0.527
3327,2:1,2:1,,0.555
3328,2:1,1:0,+,0.501
3329,1:0,2:1,+,0.605
3330,2:1,2:1,,0.692
3331,2:1,2:1,,0.788
3332,2:1,2:1,,0.695
3333,2:1,2:1,,0.619
3334,1:0,2:1,+,0.593
3335,1:0,1:0,,0.67
3336,2:1,1:0,+,0.704
3337,2:1,2:1,,0.576
3338,2:1,1:0,+,0.616
3339,2:1,2:1,,0.615
3340,2:1,1:0,+,0.761
3341,2:1,2:1,,0.519
3342,1:0,2:1,+,0.576
3343,2:1,1:0,+,0.689
3344,2:1,1:0,+,0.644
3345,2:1,1:0,+,0.547
3346,1:0,1:0,,0.632
3347,2:1,1:0,+,0.599
3348,1:0,2:1,+,0.538
3349,2:1,1:0,+,0.541
3350,1:0,2:1,+,0.785
3351,2:1,2:1,,0.624
3352,1:0,2:1,+,0.98
3353,1:0,2:1,+,0.538
3354,1:0,1:0,,0.519
3355,1:0,2:1,+,0.886
3356,2:1,2:1,,0.583
3357,1:0,1:0,,0.588
3358,2:1,2:1,,0.563
3359,1:0,2:1,+,0.715
3360,1:0,2:1,+,0.591
3361,2:1,1:0,+,0.512
3362,1:0,1:0,,0.862
3363,2:1,1:0,+,0.859
3364,2:1,2:1,,0.646
3365,1:0,2:1,+,0.616
3366,1:0,1:0,,0.559
3367,2:1,2:1,,0.716
3368,2:1,1:0,+,0.76
3369,2:1,2:1,,0.675
3370,1:0,1:0,,0.759
3371,2:1,2:1,,0.56
3372,1:0,2:1,+,0.734
3373,2:1,2:1,,0.634
3374,2:1,1:0,+,0.63
3375,2:1,1:0,+,0.705
3376,1:0,2:1,+,0.911
3377,2:1,1:0,+,0.756
3378,1:0,2:1,+,0.569
3379,1:0,1:0,,0.753
3380,1:0,2:1,+,0.511
3381,1:0,2:1,+,0.679
3382,1:0,2:1,+,0.545
3383,2:1,2:1,,0.512
3384,2:1,2:1,,0.509
3385,2:1,2:1,,0.571
3386,1:0,2:1,+,0.762
3387,1:0,2:1,+,0.537
3388,1:0,2:1,+,0.65
3389,2:1,1:0,+,0.706
3390,2:1,1:0,+,0.522
3391,1:0,2:1,+,0.607
3392,2:1,1:0,+,0.67
3393,1:0,2:1,+,0.62
3394,2:1,1:0,+,0.55
3395,2:1,2:1,,0.581
3396,2:1,2:1,,0.811
3397,2:1,1:0,+,0.698
3398,2:1,1:0,+,0.866
3399,2:1,2:1,,0.628
3400,2:1,1:0,+,0.759
3401,1:0,1:0,,0.531
3402,2:1,1:0,+,0.548
3403,1:0,2:1,+,0.577
3404,1:0,2:1,+,0.752
3405,2:1,1:0,+,0.649
3406,2:1,1:0,+,0.681
3407,2:1,2:1,,0.501
3408,1:0,1:0,,0.741
3409,1:0,1:0,,0.647
3410,2:1,1:0,+,0.743
3411,1:0,2:1,+,0.613
3412,1:0,1:0,,0.525
3413,2:1,1:0,+,0.611
3414,2:1,1:0,+,0.522
3415,1:0,1:0,,0.736
3416,2:1,1:0,+,0.696
3417,1:0,1:0,,0.729
3418,1:0,1:0,,0.621
3419,1:0,2:1,+,0.772
3420,2:1,2:1,,0.528
3421,2:1,2:1,,0.921
3422,2:1,1:0,+,0.695
3423,2:1,2:1,,0.759
3424,2:1,1:0,+,0.517
3425,1:0,2:1,+,0.698
3426,2:1,1:0,+,0.871
3427,1:0,1:0,,0.639
3428,2:1,1:0,+,0.697
3429,1:0,2:1,+,0.581
3430,1:0,1:0,,0.838
3431,1:0,1:0,,0.535
3432,1:0,1:0,,0.758
3433,1:0,1:0,,0.54
3434,2:1,1:0,+,0.78
3435,2:1,2:1,,0.595
3436,2:1,1:0,+,0.573
3437,1:0,2:1,+,0.617
3438,2:1,2:1,,0.782
3439,2:1,2:1,,0.63
3440,1:0,1:0,,0.752
3441,2:1,1:0,+,0.629
3442,2:1,1:0,+,0.741
3443,1:0,2:1,+,0.703
3444,2:1,1:0,+,0.576
3445,1:0,2:1,+,0.612
3446,2:1,1:0,+,0.572
3447,1:0,2:1,+,0.57
3448,1:0,1:0,,0.709
3449,2:1,2:1,,0.529
3450,1:0,1:0,,0.542
3451,2:1,2:1,,0.679
3452,2:1,2:1,,0.61
3453,1:0,1:0,,0.921
3454,2:1,2:1,,0.6
3455,1:0,1:0,,0.598
3456,1:0,1:0,,0.694
3457,1:0,2:1,+,0.64
3458,1:0,1:0,,0.566
3459,1:0,1:0,,0.87
3460,2:1,2:1,,0.691
3461,2:1,1:0,+,0.593
3462,1:0,2:1,+,0.503
3463,1:0,1:0,,0.553
3464,1:0,1:0,,0.606
3465,1:0,2:1,+,0.949
3466,2:1,1:0,+,0.665
3467,2:1,1:0,+,0.55
3468,2:1,1:0,+,0.616
3469,2:1,2:1,,0.87
3470,1:0,2:1,+,0.819
3471,1:0,1:0,,0.62
3472,1:0,2:1,+,0.673
3473,1:0,1:0,,0.612
3474,1:0,1:0,,0.549
3475,1:0,2:1,+,0.594
3476,2:1,1:0,+,0.73
3477,2:1,1:0,+,0.638
3478,1:0,1:0,,0.569
3479,2:1,2:1,,0.585
3480,2:1,1:0,+,0.726
3481,1:0,1:0,,0.818
3482,1:0,1:0,,0.562
3483,1:0,2:1,+,0.594
3484,1:0,1:0,,0.531
3485,2:1,2:1,,0.597
3486,1:0,2:1,+,0.787
3487,2:1,1:0,+,0.642
3488,1:0,2:1,+,0.887
3489,2:1,1:0,+,0.646
3490,2:1,1:0,+,0.866
3491,2:1,1:0,+,0.679
3492,1:0,2:1,+,0.663
3493,2:1,2:1,,0.586
3494,1:0,2:1,+,0.716
3495,1:0,1:0,,0.617
3496,2:1,1:0,+,0.87
3497,1:0,1:0,,0.74
3498,1:0,1:0,,0.634
3499,1:0,2:1,+,0.593
3500,2:1,2:1,,0.525
3501,2:1,1:0,+,0.638
3502,1:0,2:1,+,0.656
3503,2:1,2:1,,0.813
3504,2:1,1:0,+,0.606
3505,2:1,1:0,+,0.554
3506,2:1,1:0,+,0.511
3507,1:0,2:1,+,0.608
3508,2:1,1:0,+,0.739
3509,2:1,1:0,+,0.532
3510,1:0,1:0,,0.605
3511,2:1,1:0,+,0.783
3512,2:1,1:0,+,0.895
3513,1:0,1:0,,0.794
3514,2:1,2:1,,0.509
3515,1:0,1:0,,0.645
3516,1:0,1:0,,0.689
3517,2:1,2:1,,0.675
3518,1:0,2:1,+,0.507
3519,2:1,2:1,,0.735
3520,1:0,1:0,,0.534
3521,2:1,1:0,+,0.62
3522,2:1,2:1,,0.501
3523,2:1,2:1,,0.573
3524,1:0,2:1,+,0.765
3525,2:1,1:0,+,0.559
3526,2:1,2:1,,0.606
3527,1:0,2:1,+,0.634
3528,1:0,1:0,,0.631
3529,2:1,2:1,,0.72
3530,1:0,1:0,,0.583
3531,1:0,2:1,+,0.6
3532,1:0,2:1,+,0.651
3533,1:0,2:1,+,0.574
3534,2:1,1:0,+,0.696
3535,1:0,1:0,,0.54
3536,2:1,1:0,+,0.52
3537,1:0,1:0,,0.583
3538,2:1,1:0,+,0.511
3539,1:0,1:0,,0.791
3540,2:1,2:1,,0.697
3541,1:0,1:0,,0.644
3542,2:1,1:0,+,0.778
3543,2:1,1:0,+,0.692
3544,2:1,1:0,+,0.571
3545,2:1,2:1,,0.688
3546,1:0,2:1,+,0.504
3547,1:0,2:1,+,0.504
3548,1:0,1:0,,0.517
3549,2:1,2:1,,0.62
3550,1:0,1:0,,0.704
3551,2:1,2:1,,0.502
3552,2:1,1:0,+,0.52
3553,2:1,2:1,,0.958
3554,1:0,2:1,+,0.542
3555,2:1,2:1,,0.535
3556,1:0,1:0,,0.731
3557,1:0,1:0,,0.601
3558,1:0,1:0,,0.648
3559,2:1,1:0,+,0.859
3560,1:0,1:0,,0.589
3561,1:0,1:0,,0.531
3562,2:1,2:1,,0.745
3563,1:0,2:1,+,0.518
3564,2:1,1:0,+,0.589
3565,1:0,2:1,+,0.683
3566,1:0,1:0,,0.583
3567,1:0,2:1,+,0.521
3568,1:0,2:1,+,0.651
3569,1:0,1:0,,0.588
3570,2:1,2:1,,0.544
3571,2:1,1:0,+,0.652
3572,2:1,2:1,,0.824
3573,1:0,1:0,,0.566
3574,1:0,2:1,+,0.67
3575,1:0,2:1,+,0.789
3576,1:0,2:1,+,0.892
3577,1:0,2:1,+,0.675
3578,1:0,1:0,,0.631
3579,2:1,1:0,+,0.545
3580,2:1,1:0,+,0.501
3581,2:1,2:1,,0.795
3582,1:0,1:0,,0.641
3583,2:1,1:0,+,0.626
3584,1:0,2:1,+,0.557
3585,2:1,1:0,+,0.727
3586,2:1,1:0,+,0.586
3587,2:1,2:1,,0.747
3588,1:0,2:1,+,0.622
3589,2:1,1:0,+,0.554
3590,2:1,2:1,,0.808
3591,1:0,2:1,+,0.893
3592,2:1,2:1,,0.617
3593,1:0,1:0,,0.752
3594,2:1,1:0,+,0.759
3595,1:0,1:0,,0.921
3596,2:1,2:1,,0.681
3597,2:1,1:0,+,0.51
3598,2:1,2:1,,0.501
3599,1:0,2:1,+,0.6
3600,2:1,2:1,,0.556
3601,2:1,2:1,,0.66
3602,1:0,1:0,,0.59
3603,1:0,1:0,,0.647
3604,2:1,2:1,,0.562
3605,1:0,1:0,,0.502
3606,2:1,1:0,+,0.71
3607,2:1,2:1,,0.789
3608,1:0,1:0,,0.662
3609,1:0,2:1,+,0.731
3610,2:1,2:1,,0.533
3611,1:0,1:0,,0.561
3612,1:0,2:1,+,0.598
3613,2:1,2:1,,0.655
3614,1:0,2:1,+,0.717
3615,1:0,1:0,,0.933
3616,1:0,2:1,+,0.502
3617,2:1,1:0,+,0.519
3618,2:1,1:0,+,0.502
3619,1:0,1:0,,0.524
3620,2:1,1:0,+,0.566
3621,2:1,2:1,,0.67
3622,2:1,2:1,,0.68
3623,2:1,2:1,,0.973
3624,1:0,1:0,,0.666
3625,1:0,2:1,+,0.602
3626,2:1,1:0,+,0.564
3627,2:1,2:1,,0.778
3628,1:0,1:0,,0.607
3629,2:1,1:0,+,0.666
3630,1:0,1:0,,0.933
3631,2:1,1:0,+,0.537
3632,1:0,1:0,,0.568
3633,1:0,2:1,+,0.929
3634,2:1,2:1,,0.808
3635,2:1,2:1,,0.626
3636,1:0,2:1,+,0.856
3637,2:1,1:0,+,0.685
3638,2:1,2:1,,0.518
3639,1:0,2:1,+,0.878
3640,1:0,1:0,,0.55
3641,2:1,1:0,+,0.578
3642,1:0,2:1,+,0.702
3643,1:0,1:0,,0.566
3644,1:0,1:0,,0.723
3645,2:1,2:1,,0.521
3646,1:0,1:0,,0.759
3647,2:1,2:1,,0.551
3648,2:1,2:1,,0.732
3649,1:0,2:1,+,0.657
3650,2:1,2:1,,0.55
3651,1:0,2:1,+,0.555
3652,2:1,1:0,+,0.659
3653,1:0,1:0,,0.91
3654,2:1,2:1,,0.604
3655,2:1,2:1,,0.584
3656,1:0,2:1,+,0.636
3657,2:1,1:0,+,0.596
3658,2:1,2:1,,0.98
3659,2:1,1:0,+,0.611
3660,2:1,1:0,+,0.778
3661,1:0,2:1,+,0.794
3662,2:1,2:1,,0.607
3663,1:0,2:1,+,0.756
3664,1:0,2:1,+,0.839
3665,2:1,1:0,+,0.508
3666,2:1,2:1,,0.547
3667,1:0,2:1,+,0.536
3668,1:0,2:1,+,0.583
3669,2:1,2:1,,0.921
3670,2:1,1:0,+,0.551
3671,2:1,1:0,+,0.511
3672,2:1,2:1,,0.882
3673,2:1,1:0,+,0.768
3674,1:0,2:1,+,0.524
3675,2:1,1:0,+,0.595
3676,2:1,2:1,,0.691
3677,2:1,1:0,+,0.898
3678,2:1,2:1,,0.594
3679,2:1,1:0,+,0.787
3680,2:1,2:1,,0.621
3681,2:1,2:1,,0.739
3682,1:0,1:0,,0.637
3683,2:1,1:0,+,0.659
3684,1:0,2:1,+,0.686
3685,1:0,1:0,,0.661
3686,2:1,2:1,,0.579
3687,2:1,2:1,,0.526
3688,2:1,1:0,+,0.529
3689,1:0,2:1,+,0.746
3690,2:1,1:0,+,0.819
3691,2:1,2:1,,0.604
3692,1:0,2:1,+,0.572
3693,1:0,2:1,+,0.852
3694,2:1,1:0,+,0.544
3695,1:0,1:0,,0.538
3696,1:0,2:1,+,0.533
3697,1:0,2:1,+,0.707
3698,2:1,1:0,+,0.52
3699,1:0,2:1,+,0.738
3700,2:1,2:1,,0.627
3701,1:0,1:0,,0.609
3702,1:0,2:1,+,0.811
3703,1:0,1:0,,0.518
3704,2:1,2:1,,0.555
3705,2:1,2:1,,0.591
3706,2:1,2:1,,0.541
3707,1:0,2:1,+,0.567
3708,1:0,1:0,,0.649
3709,2:1,1:0,+,0.595
3710,1:0,1:0,,0.931
3711,2:1,1:0,+,0.544
3712,1:0,2:1,+,0.641
3713,2:1,2:1,,0.892
3714,1:0,1:0,,0.57
3715,2:1,2:1,,0.555
3716,2:1,1:0,+,0.535
3717,2:1,2:1,,0.519
3718,2:1,2:1,,0.509
3719,2:1,1:0,+,0.519
3720,2:1,1:0,+,0.657
3721,1:0,2:1,+,0.535
3722,2:1,2:1,,0.731
3723,2:1,1:0,+,0.617
3724,2:1,1:0,+,0.907
3725,2:1,2:1,,0.807
3726,1:0,2:1,+,0.621
3727,1:0,1:0,,0.518
3728,1:0,1:0,,0.624
3729,1:0,1:0,,0.851
3730,2:1,2:1,,0.522
3731,1:0,2:1,+,0.667
3732,1:0,2:1,+,0.769
3733,1:0,1:0,,0.858
3734,1:0,1:0,,0.772
3735,1:0,2:1,+,0.504
3736,2:1,2:1,,0.611
3737,1:0,2:1,+,0.511
3738,2:1,2:1,,0.507
3739,2:1,2:1,,0.666
3740,1:0,1:0,,0.588
3741,1:0,1:0,,0.528
3742,1:0,1:0,,0.566
3743,1:0,2:1,+,0.628
3744,2:1,1:0,+,0.502
3745,2:1,2:1,,0.825
3746,2:1,1:0,+,0.792
3747,1:0,1:0,,0.752
3748,2:1,2:1,,0.575
3749,1:0,2:1,+,0.644
3750,2:1,1:0,+,0.821
3751,2:1,2:1,,0.642
3752,2:1,1:0,+,0.736
3753,2:1,1:0,+,0.581
3754,2:1,1:0,+,0.575
3755,1:0,1:0,,0.912
3756,2:1,2:1,,0.746
3757,2:1,1:0,+,0.55
3758,1:0,1:0,,0.543
3759,2:1,2:1,,0.619
3760,1:0,1:0,,0.677
3761,2:1,2:1,,0.589
3762,1:0,1:0,,0.596
3763,2:1,2:1,,0.572
3764,1:0,2:1,+,0.585
3765,1:0,2:1,+,0.668
3766,2:1,2:1,,0.595
3767,2:1,1:0,+,0.56
3768,2:1,1:0,+,0.604
3769,1:0,2:1,+,0.602
3770,1:0,2:1,+,0.752
3771,1:0,1:0,,0.641
3772,2:1,2:1,,0.612
3773,2:1,1:0,+,0.766
3774,2:1,2:1,,0.563
3775,1:0,2:1,+,0.658
3776,1:0,1:0,,0.641
3777,2:1,2:1,,0.557
3778,2:1,1:0,+,0.762
3779,1:0,1:0,,0.649
3780,1:0,1:0,,0.541
3781,1:0,2:1,+,0.597
3782,1:0,1:0,,0.692
3783,1:0,2:1,+,0.852
3784,2:1,2:1,,0.573
3785,1:0,1:0,,0.641
3786,2:1,2:1,,0.517
3787,1:0,1:0,,0.829
3788,2:1,1:0,+,0.702
3789,2:1,2:1,,0.789
3790,2:1,2:1,,0.505
3791,1:0,2:1,+,0.553
3792,2:1,1:0,+,0.631
3793,2:1,2:1,,0.635
3794,2:1,2:1,,0.524
3795,1:0,2:1,+,0.789
3796,1:0,1:0,,0.921
3797,1:0,1:0,,0.505
3798,1:0,1:0,,0.535
3799,2:1,2:1,,0.678
3800,2:1,2:1,,0.659
3801,2:1,1:0,+,0.778
3802,1:0,2:1,+,0.74
3803,2:1,2:1,,0.795
3804,2:1,2:1,,0.854
3805,2:1,1:0,+,0.694
3806,2:1,1:0,+,0.729
3807,1:0,2:1,+,0.583
3808,1:0,2:1,+,0.754
3809,2:1,1:0,+,0.666
3810,2:1,1:0,+,0.528
3811,2:1,2:1,,0.929
3812,1:0,1:0,,0.536
3813,2:1,1:0,+,0.614
3814,1:0,2:1,+,0.613
3815,2:1,1:0,+,0.777
3816,2:1,2:1,,0.669
3817,1:0,2:1,+,0.76
3818,1:0,1:0,,0.698
3819,2:1,1:0,+,0.731
3820,2:1,2:1,,0.716
3821,1:0,2:1,+,0.722
3822,1:0,2:1,+,0.711
3823,1:0,1:0,,0.63
3824,2:1,1:0,+,0.527
3825,2:1,1:0,+,0.575
3826,2:1,1:0,+,0.569
3827,1:0,2:1,+,0.758
3828,1:0,1:0,,0.53
3829,1:0,1:0,,0.595
3830,1:0,2:1,+,0.628
3831,2:1,2:1,,0.543
3832,2:1,2:1,,0.688
3833,2:1,2:1,,0.509
3834,1:0,1:0,,0.678
3835,2:1,2:1,,0.55
3836,2:1,1:0,+,0.596
3837,1:0,1:0,,0.517
3838,2:1,1:0,+,0.805
3839,2:1,2:1,,0.608
3840,1:0,2:1,+,0.662
3841,2:1,1:0,+,0.677
3842,2:1,1:0,+,0.609
3843,2:1,1:0,+,0.569
3844,2:1,2:1,,0.575
3845,2:1,1:0,+,0.546
3846,1:0,2:1,+,0.513
3847,2:1,1:0,+,0.681
3848,2:1,1:0,+,0.585
3849,2:1,2:1,,0.685
3850,2:1,1:0,+,0.511
3851,2:1,1:0,+,0.675
3852,2:1,2:1,,0.804
3853,1:0,1:0,,0.553
3854,2:1,1:0,+,0.644
3855,2:1,2:1,,0.739
3856,2:1,2:1,,0.561
3857,1:0,1:0,,0.517
3858,2:1,1:0,+,0.786
3859,1:0,2:1,+,0.728
3860,2:1,2:1,,0.544
3861,1:0,2:1,+,0.918
3862,1:0,1:0,,0.733
3863,2:1,1:0,+,0.827
3864,1:0,1:0,,0.565
3865,2:1,1:0,+,0.606
3866,2:1,2:1,,0.787
3867,1:0,1:0,,0.802
3868,1:0,2:1,+,0.776
3869,2:1,2:1,,0.56
3870,2:1,2:1,,0.663
3871,2:1,1:0,+,0.699
3872,2:1,1:0,+,0.708
3873,2:1,2:1,,0.576
3874,1:0,1:0,,0.685
3875,1:0,2:1,+,0.797
3876,1:0,1:0,,0.513
3877,2:1,2:1,,0.572
3878,2:1,2:1,,0.674
3879,2:1,1:0,+,0.583
3880,2:1,1:0,+,0.514
3881,2:1,2:1,,0.6
3882,1:0,2:1,+,0.521
3883,2:1,1:0,+,0.726
3884,1:0,2:1,+,0.517
3885,2:1,2:1,,0.696
3886,2:1,1:0,+,0.8
3887,1:0,1:0,,0.561
3888,2:1,2:1,,0.738
3889,2:1,1:0,+,0.775
3890,1:0,1:0,,0.569
3891,1:0,2:1,+,0.771
3892,1:0,2:1,+,0.68
3893,2:1,1:0,+,0.605
3894,2:1,2:1,,0.529
3895,2:1,2:1,,0.687
3896,2:1,2:1,,0.57
3897,1:0,2:1,+,0.652
3898,1:0,1:0,,0.676
3899,2:1,1:0,+,0.69
3900,1:0,1:0,,0.598
